created_date,status,segmento,comision_actual,logistic_type,store_type,barrio,category,cooking_time,tiene_otra_app,brand_id,store_id
2025-08-19T13:08:19.909Z,active,Picked Locals,36.0,3P,New brand,CENTRO,Picadas,20 min,Sí,14447.0,104364
2025-08-19T12:59:35.887Z,active,Microstores,46.5,3P,New brand,NÚÑEZ,Desayunos y meriendas,15 min,Sí,13135.0,104947
2025-08-19T12:52:23.901Z,active,Picked Locals,33.0,3P,New brand,LAS MALVINAS,Ensaladas,20 min,Sí,13839.0,114680
2025-08-19T12:48:55.938Z,active,Picked Locals,33.0,3P,New brand,CENTRO,Hamburguesa,10 min,Sí,10309.0,115428
2025-08-19T12:42:30.893Z,active,Picked Locals,36.0,3P,New brand,VICENTE LÓPEZ,Desayunos y meriendas,15 min,Sí,10487.0,103315
2025-08-19T12:40:01.916Z,active,Microstores,42.0,3P,New brand,PALERMO,Panadería,20 min,Sí,10859.0,107065
2025-08-19T12:32:34.904Z,active,Picked Locals,36.0,3P,New brand,VICENTE LÓPEZ,Desayunos y meriendas,10 min,Sí,14700.0,112291
2025-08-19T12:28:24.900Z,active,Microstores,43.5,3P,New brand,SAN JUSTO,Desayunos y meriendas,25 min,Sí,10973.0,104664
2025-08-19T12:22:23.063Z,active,Microstores,42.0,3P,New brand,CENTRO,Saludable,30 min,No,14204.0,114367
2025-08-19T12:18:22.887Z,active,Microstores,42.0,3P,New brand,LA PLATA,Milanesas,20 min,Sí,11168.0,105706
2025-08-19T12:15:40.922Z,active,Microstores,39.0,3P,New brand,LA PLATA,Pizza,5 min,Sí,14732.0,109712
2025-08-19T12:10:07.982Z,active,Microstores,42.0,3P,New brand,CENTRO,Hamburguesa,20 min,Sí,11058.0,110089
2025-08-19T12:07:38.926Z,active,Microstores,42.0,3P,New brand,VILLA LYNCH,Parrilla,30 min,Sí,10139.0,113310
2025-08-18T12:06:33.880Z,active,Microstores,39.0,3P,New brand,ALMAGRO,Venezolana,25 min,No,14169.0,113417
2025-08-15T17:57:10.975Z,active,Picked Locals,37.5,3P,Brand expansion,CENTRO,Desayunos y meriendas,10 min,No,13993.0,111093
2025-08-15T17:52:16.985Z,active,Top Players,22.5,3P,Brand expansion,CENTRO,Hamburguesa,10 min,Sí,12102.0,100053
2025-08-15T17:42:30.961Z,active,Top Players,22.5,3P,Brand expansion,,Hamburguesa,10 min,Sí,12102.0,113288
2025-08-15T17:41:16.970Z,active,Picked Locals,37.5,3P,Brand expansion,CENTRO,Desayunos y meriendas,10 min,No,13993.0,114359
2025-08-15T17:35:35.936Z,active,Top Players,22.5,3P,Brand expansion,CENTRO,Hamburguesa,10 min,Sí,12102.0,107459
2025-08-15T17:28:58.918Z,active,Top Players,22.5,3P,Brand expansion,LAS MALVINAS,Hamburguesa,10 min,Sí,12102.0,114942
2025-08-15T17:23:45.942Z,active,Picked Locals,37.5,3P,Brand expansion,CENTRO,Desayunos y meriendas,10 min,No,13993.0,108210
2025-08-15T17:18:39.922Z,active,Top Players,22.5,3P,Brand expansion,LUIS AGOTE,Hamburguesa,10 min,Sí,12102.0,112078
2025-08-15T17:13:16.950Z,active,Microstores,42.0,3P,Brand expansion,ALMAGRO,Helado,5 min,No,12418.0,103547
2025-08-15T17:13:07.848Z,active,Picked Locals,15.0,3P,Brand expansion,CABALLITO,Hamburguesa,10 min,Sí,12775.0,113370
2025-08-15T17:09:57.959Z,active,Picked Locals,15.0,3P,Brand expansion,CABALLITO,Asiática,10 min,Sí,14308.0,100140
2025-08-15T16:58:18.871Z,active,Top Players,24.0,3P,Brand expansion,MANANTIALES,Sushi,10 min,Sí,11507.0,115167
2025-08-15T16:53:47.860Z,active,Top Players,24.0,3P,Brand expansion,MANANTIALES,Sushi,10 min,Sí,12561.0,105419
2025-08-15T16:48:40.939Z,active,Top Players,24.0,3P,Brand expansion,MANANTIALES,Saludable,10 min,Sí,10899.0,104582
2025-08-15T16:43:46.925Z,active,Top Players,27.0,3P,Brand expansion,MANANTIALES,Helado,10 min,Sí,13326.0,100385
2025-08-15T16:40:35.908Z,active,Microstores,42.0,3P,Brand expansion,CENTRO,Panadería,10 min,No,12125.0,105472
2025-08-15T16:33:22.933Z,active,Top Players,24.0,3P,Brand expansion,ALMAGRO,China,10 min,Sí,12129.0,103809
2025-08-15T16:28:24.933Z,active,Microstores,42.0,3P,Brand expansion,CENTRO,Desayunos y meriendas,5 min,Sí,12467.0,109376
2025-08-15T16:23:15.028Z,active,Top Players,24.0,3P,Brand expansion,,Saludable,10 min,Sí,12795.0,109745
2025-08-15T16:18:42.903Z,active,Top Players,24.0,3P,Brand expansion,,Saludable,10 min,Sí,12795.0,109935
2025-08-15T16:15:24.908Z,active,Top Players,24.0,3P,Brand expansion,BELGRANO,Milanesas,10 min,Sí,12450.0,110776
2025-08-15T16:15:22.986Z,active,Picked Locals,31.5,3P,Brand expansion,,Empanadas,10 min,Sí,12709.0,104786
2025-08-15T15:58:23.945Z,active,Microstores,42.0,3P,Brand expansion,JARDIN HIPODROMO,Desayunos y meriendas,15 min,Sí,12467.0,103146
2025-08-15T15:52:43.947Z,active,Microstores,42.0,3P,Brand expansion,,Desayunos y meriendas,10 min,Sí,13008.0,114934
2025-08-15T15:48:30.948Z,active,Microstores,42.0,3P,Brand expansion,LA PLATA,Pastas,10 min,Sí,11757.0,108945
2025-08-15T15:44:16.939Z,active,Top Players,18.0,3P,Brand expansion,LAS MALVINAS,Desayunos y meriendas,10 min,Sí,13293.0,110207
2025-08-15T15:39:15.928Z,active,Microstores,42.0,3P,Brand expansion,,Empanadas,25 min,Sí,12240.0,115390
2025-08-15T15:33:23.992Z,active,Top Players,18.0,3P,Brand expansion,LAS MALVINAS,Hamburguesa,10 min,Sí,10932.0,107846
2025-08-15T15:28:30.927Z,active,Microstores,42.0,3P,Brand expansion,,Empanadas,25 min,Sí,12240.0,109162
2025-08-15T15:22:27.949Z,active,Top Players,30.0,3P,Brand expansion,CABALLITO,Hamburguesa,15 min,Sí,12902.0,111748
2025-08-15T15:18:33.929Z,active,Top Players,28.5,3P,Brand expansion,JARDIN,Helado,10 min,Sí,13116.0,108781
2025-08-15T15:13:50.919Z,active,Microstores,42.0,3P,New brand,BECCAR,Bebidas,30 min,No,11561.0,100070
2025-08-15T15:09:28.932Z,active,Microstores,42.0,3P,New brand,SAN ISIDRO,Milanesas,20 min,Sí,12929.0,100798
2025-08-15T15:06:14.964Z,active,Microstores,39.0,3P,New brand,NUEVA POMPEYA,Helado,10 min,No,12646.0,112880
2025-08-15T14:58:22.944Z,active,Picked Locals,27.0,3P,New brand,LOS NARANJOS,Hamburguesa,15 min,Sí,12361.0,102369
2025-08-15T14:56:13.944Z,active,Microstores,42.0,3P,New brand,SAN MARTÍN CENTRO,Sándwiches,20 min,Sí,14557.0,113136
2025-08-15T14:48:43.920Z,active,Microstores,42.0,3P,New brand,ALBERDI,Desayunos y meriendas,15 min,Sí,10578.0,105329
2025-08-15T14:42:29.930Z,active,Microstores,42.0,3P,New brand,SAN MARTÍN CENTRO,Venezolana,30 min,No,14416.0,111807
2025-08-15T14:38:38.929Z,active,Microstores,42.0,3P,New brand,LA PLATA,,15 min,No,12570.0,112336
2025-08-15T14:33:34.936Z,active,Microstores,42.0,3P,New brand,ALTA CORDOBA,Hamburguesa,30 min,No,14592.0,104987
2025-08-15T14:28:27.921Z,active,Microstores,42.0,3P,New brand,LA PLATA,Venezolana,25 min,No,13670.0,115216
2025-08-15T14:23:09.921Z,active,Microstores,42.0,3P,New brand,MORÓN,Milanesas,20 min,Sí,11249.0,104583
2025-08-15T14:21:30.932Z,active,Microstores,42.0,3P,New brand,CENTRO,Desayunos y meriendas,15 min,Sí,13455.0,101695
2025-08-15T14:15:11.927Z,active,Microstores,42.0,3P,New brand,KENNEDY,Internacional,20 min,Sí,13235.0,104641
2025-08-15T14:11:04.853Z,active,Microstores,42.0,3P,New brand,MONSERRAT,Empanadas,10 min,No,14472.0,112924
2025-08-15T14:10:11.941Z,active,Microstores,42.0,3P,New brand,MONSERRAT,Panadería,5 min,No,10577.0,100622
2025-08-15T13:58:23.909Z,active,Microstores,42.0,3P,New brand,LA PLATA,Empanadas,20 min,No,14289.0,102478
2025-08-15T13:54:02.928Z,active,Microstores,43.5,3P,New brand,BALVANERA,Hamburguesa,10 min,Sí,10676.0,104592
2025-08-15T13:48:43.942Z,active,Microstores,42.0,3P,New brand,CENTRO,Hamburguesa,10 min,Sí,10722.0,111784
2025-08-15T13:43:10.903Z,active,Microstores,42.0,3P,New brand,LAS FLORES,Vegana,15 min,No,10013.0,110411
2025-08-15T13:40:21.911Z,active,Microstores,42.0,3P,New brand,BIALET MASSE,Sándwiches,15 min,Sí,11028.0,103502
2025-08-15T13:35:49.930Z,active,Microstores,42.0,3P,New brand,AVELLANEDA,Bebidas,30 min,Sí,10372.0,111967
2025-08-15T13:28:47.162Z,active,Microstores,42.0,3P,New brand,GENERAL PAZ,Empanadas,10 min,Sí,10690.0,113819
2025-08-15T13:22:31.928Z,active,Microstores,42.0,3P,New brand,EL TREBOL,Sándwiches,25 min,Sí,14166.0,108145
