YEAR,MONTH,STORE_ID,CUS_CUST_ID,STORE_STAGE_LIFECYCLE,STORE_STAGE_LIFECYCLE_PREV_MONTH,SEGMENTO,STATUS,NEIGHBOURHOOD,LONGITUDE,LATITUDE,LOCATION,CITY,AUD_INS_DTTM,AUD_UPD_DTTM
2022,8,44050158,393712049,Retained,New,LH,active,VILLA URQUIZA,-58.49075559999999,-34.5770006,"-34.5770006, -58.49075559999999",CABA,2025-09-23,2025-09-23
2022,8,44141970,1043692386,Retained,New,LH,active,BELGRANO,-58.46623339999999,-34.5576091,"-34.5576091, -58.46623339999999",CABA,2025-09-23,2025-09-23
2022,8,45098632,1075576177,Retained,New,CA,active,BELGRANO,-58.4590597,-34.5598005,"-34.5598005, -58.4590597",CABA,2025-09-23,2025-09-23
2022,8,45863052,184177501,New,,LH,active,NUÑEZ,-58.46410359999999,-34.5560341,"-34.5560341, -58.46410359999999",CABA,2025-09-23,2025-09-23
2022,8,46669208,1114135685,Retained,New,LT,active,BELGRANO,-58.4555151,-34.5677223,"-34.5677223, -58.4555151",CABA,2025-09-23,2025-09-23
2022,8,46849455,739255035,Retained,New,CA,active,BELGRANO,-58.4600931,-34.5657416,"-34.5657416, -58.4600931",CABA,2025-09-23,2025-09-23
2022,8,46962011,1113724891,New,,CA,active,COLEGIALES,-58.4475914,-34.5704147,"-34.5704147, -58.4475914",CABA,2025-09-23,2025-09-23
2022,8,47254144,1132936495,Retained,New,LH,,VILLA CRESPO,,,,CABA,2025-09-23,2025-09-23
2022,8,47426348,726847692,Retained,New,LT,active,PALERMO,-58.4463045,-34.5687729,"-34.5687729, -58.4463045",CABA,2025-09-23,2025-09-23
2022,8,47774859,1150793454,Retained,New,LT,active,BELGRANO,-58.46411479999999,-34.560918,"-34.560918, -58.46411479999999",CABA,2025-09-23,2025-09-23
2022,8,47855466,1150450663,Retained,New,CA,active,PALERMO,-58.43220580000001,-34.5809621,"-34.5809621, -58.43220580000001",CABA,2025-09-23,2025-09-23
2022,8,47956880,1139846647,Retained,New,LH,active,NUÑEZ,-58.46410359999999,-34.5560341,"-34.5560341, -58.46410359999999",CABA,2025-09-23,2025-09-23
2022,8,47957667,1139911841,Retained,New,LH,active,NUÑEZ,-58.46410359999999,-34.5560341,"-34.5560341, -58.46410359999999",CABA,2025-09-23,2025-09-23
2022,8,47959010,1139904719,New,,LH,active,NUÑEZ,-58.46410359999999,-34.5560341,"-34.5560341, -58.46410359999999",CABA,2025-09-23,2025-09-23
